id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2015,Berlin-Mitte Value! Quiet courtyard/very central,2217,Ian,Mitte,Brunnenstr. Süd,52.53453732241747,13.402556926822387,Entire home/apt,60,4,118,28/10/2018,3.76,4,14
2695,Prenzlauer Berg close to Mauerpark,2986,Michael,Pankow,Prenzlauer Berg Nordwest,52.54851279221664,13.404552826587466,Private room,17,2,6,01/10/2018,1.42,1,
3176,Fabulous Flat in great Location,3718,Britta,Pankow,Prenzlauer Berg Südwest,52.534996191586714,13.417578665333295,Entire home/apt,90,62,143,20/03/2017,1.25,1,22
7071,BrightRoom with sunny greenview!,17391,Bright,Pankow,Helmholtzplatz,52.5431572633131,13.415091104515707,Private room,42,2,197,04/11/2018,1.75,1,2
17409,Downtown Above The Roofs In Berlin,67590,Wolfram,Pankow,Prenzlauer Berg Südwest,52.52907092467378,13.412843393984936,Private room,45,3,279,01/11/2018,2.83,1,4
17904,Beautiful Kreuzberg studio/WiFi (reg. pend.),68997,Matthias,Neukölln,Reuterstraße,52.495476326623894,13.421821277536653,Entire home/apt,49,5,223,30/10/2018,2.1,1,23
22677,Prenzel garden with leafy terrace,87357,Ramfis,Mitte,Brunnenstr. Süd,52.53434836322021,13.405576517191426,Entire home/apt,160,3,223,05/11/2018,2.27,1,22
23834,Apartment in the heart of Berlin,94918,Tanja,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.489714426323665,13.379747575408963,Entire home/apt,65,60,96,30/06/2018,0.94,1,27
26543,Helmholtzplatz Bright&Spacious Apt.,112675,Terri,Pankow,Helmholtzplatz,52.54406239119687,13.421376521988277,Entire home/apt,197,3,163,05/11/2018,1.63,1,33
30295,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,485838,Michele,Pankow,Helmholtzplatz,52.54596726018988,13.422358872353616,Entire home/apt,100,4,240,01/11/2018,2.42,4,29
31440,"Nice Room in Prenzlauerberg,",135046,Thomas,Pankow,Helmholtzplatz,52.5430892935274,13.42245309399176,Private room,44,1,28,28/10/2018,4.94,1,36
33043,Central Bright Bellevue Free Parking WIFI 4G,143180,Claudio&Irina,Mitte,Moabit Ost,52.521417975814856,13.357082298389068,Entire home/apt,62,3,144,04/11/2018,1.44,1,34
36480,ChimaysaberlinB&B Single Bedroom,156897,Helen,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.519676583782385,13.302088764141637,Private room,40,1,33,19/10/2018,1.63,2,29
37052,QUIET n SUNNY FLAT in MITTE/PBERG,149093,Rob,Mitte,Brunnenstr. Süd,52.538220334346455,13.404625244040142,Entire home/apt,52,2,307,04/10/2018,3.04,2,2
