id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3309,BerlinSpot Schöneberg near KaDeWe,4108,Jana,Tempelhof - Schöneberg,Schöneberg-Nord,52.498854933130026,13.34906453348717,Private room,26,5,25,16/08/2018,0.39,1,29
9991,Geourgeous flat - outstanding views,33852,Philipp,Pankow,Prenzlauer Berg Südwest,52.533030768026826,13.416046823956403,Entire home/apt,180,6,6,23/07/2018,0.15,1,13
14325,Apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.547846407992154,13.405562243722455,Entire home/apt,70,90,23,01/11/2018,0.23,3,12
16401,APARTMENT TO RENT,59666,Melanie,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51051399601544,13.457850238106195,Private room,120,30,0,,,1,36
16644,In the Heart of Berlin - Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50479227385915,13.435101853886051,Entire home/apt,90,60,48,14/00/2018,0.47,2,15
20858,Designer Loft in Berlin Mitte,71331,Marc,Pankow,Prenzlauer Berg Südwest,52.53695243192395,13.407615032621537,Entire home/apt,129,3,56,20/10/2018,0.75,1,16
21869,Studio in the Heart of Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50273333406941,13.434619857852763,Entire home/apt,70,60,60,05/06/2016,0.61,2,12
22415,Stylishly furnished 3 room flat,86068,Kiki,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.494850619865915,13.428500598140369,Entire home/apt,98,3,61,01/10/2018,0.59,2,25
24569,Sunny & Wheelchair accessible,99662,Dominik,Pankow,Prenzlauer Berg Südwest,52.53079085230837,13.41808443901994,Entire home/apt,90,3,18,25/08/2018,0.18,2,
25653,Sunny & stylish 150 sqm apartment,99662,Dominik,Pankow,Prenzlauer Berg Süd,52.530258736282434,13.419466962263806,Entire home/apt,90,4,5,14/08/2016,0.05,2,1
28156,Beautiful apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.54671936814942,13.405117021304424,Entire home/apt,70,90,28,29/04/2017,0.29,3,19
28268,Cozy Berlin Friedrichshain for1/6 p,121580,Elena,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51338523184102,13.469947507779649,Entire home/apt,90,5,30,02/08/2017,0.33,1,5
28711,Silent Studio-apt in Kreuzkölln,84157,Emanuela,Neukölln,Reuterstraße,52.48610614913479,13.43481698170685,Entire home/apt,60,2,1,13/08/2013,0.02,10,34
29279,Quiet 2 rooms next Helmholtzplatz,54283,Marine,Pankow,Helmholtzplatz,52.54178764990126,13.42388315889975,Entire home/apt,130,60,69,31/07/2018,0.7,3,22
35642,Cozy 2 Room Apartment in trendy Prenzlauer Berg,153252,Thorsten,Pankow,Prenzlauer Berg Nord,52.54936125502965,13.418227669657085,Entire home/apt,55,60,1,16/09/2010,0.01,1,8
37004,WONDERFUL ROOM for longer stays Berlin Central,159734,Bernd,Tempelhof - Schöneberg,Schöneberg-Nord,52.49338924131891,13.364813135044637,Private room,25,5,21,25/09/2018,0.21,1,32
38296,nice apartment to rent in Neukölln in September!,164310,Oliver,Neukölln,Schillerpromenade,52.485862608293196,13.423619080920695,Entire home/apt,80,10,6,27/07/2012,0.06,1,31
40600,room-artist loft berlin kreuzberg ,174970,Judith,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48844228331082,13.420599819323225,Private room,50,3,50,26/09/2016,0.62,2,
41217,Beautiful room in Prenzlauer Berg,179110,Bn,Pankow,Prenzlauer Berg Südwest,52.5364078673576,13.41231044897961,Private room,43,2,70,08/10/2017,0.7,1,
41306,"Schöner Altbau, 6 min zum Alexanderpatz.",179872,Sebastian,Pankow,Prenzlauer Berg Süd,52.530280175668814,13.423478477243012,Private room,40,1,1,26/09/2014,0.02,1,
42742,Spacious 35m2 in Central Apartment,272316,Desiree,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.4966675178124,13.440339722231823,Private room,36,1,25,01/10/2018,0.32,2,21
43123,Lux Berlin 1: boutique & design,188116,Lena,Pankow,Prenzlauer Berg Südwest,52.53946252929092,13.408834096612916,Entire home/apt,90,5,65,01/11/2018,0.66,2,18
44083,Riverside View Apartment,193038,Michaela,Treptow - Köpenick,Alt  Treptow,52.490400696232065,13.44084589638462,Private room,42,3,11,01/10/2018,0.12,1,6
46172,Chic Loft By Kastanienallee,206338,Heike,Mitte,Brunnenstr. Süd,52.538089761750115,13.405364899112747,Entire home/apt,48,60,38,29/08/2018,0.48,2,26
47938,Lovely 2 BR flat in Prenzlauer Berg,218479,Laura,Pankow,Prenzlauer Berg Südwest,52.53219075931284,13.419875245322093,Entire home/apt,160,3,35,29/09/2018,0.35,1,3
48955,Cozy studio in the heart of Berlin,211722,Anne,Pankow,Prenzlauer Berg Südwest,52.53626706277856,13.420812783549412,Entire home/apt,70,4,0,,,1,12
52734,"LUMINOUS, LOFT LIKE APT IN F'HAIN",112446,Boris,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.511208807057926,13.457278071959971,Entire home/apt,88,5,5,21/10/2016,0.07,1,
55298,Couch in Livingroom available,261030,Edna,Tempelhof - Schöneberg,Schöneberg-Nord,52.498379301039115,13.34181568690064,Shared room,88,2,0,,,1,36
55455,Panorama Apartment Berlin Centre,261953,Clara,Mitte,Alexanderplatz,52.521145362296046,13.40608326685905,Entire home/apt,90,2,1,26/01/2011,0.01,1,6
55853,Hauptstadt-Domizil,264072,Britta,Charlottenburg-Wilm.,Neue Kantstraße,52.50340301169887,13.292025527066214,Entire home/apt,55,60,11,12/03/2016,0.16,1,28
57049,130 sqm with a view on Mauer Park,54283,Marine,Pankow,Prenzlauer Berg Nordwest,52.547867835067684,13.40416737243234,Entire home/apt,200,3,81,16/10/2018,0.84,3,6
57792,Bungalow mit Garten in Berlin Zehlendorf,275784,Jo,Steglitz - Zehlendorf,Ostpreußendamm,52.42530982912259,13.328061611379399,Entire home/apt,49,2,3,12/02/2017,0.03,1,
58041,Apt. in a historic ambience+Wifi from 18.11.2018,145808,Veronika,Mitte,Alexanderplatz,52.527709101108194,13.39090247014701,Entire home/apt,55,90,72,01/06/2018,0.88,1,35
58780,light quiet beautiful 4 room flat,281614,Katja,Pankow,Prenzlauer Berg Süd,52.53420466657788,13.426711669188906,Entire home/apt,130,5,32,04/11/2018,0.37,2,21
59249,Lux Berlin 2: luxury & design ,188116,Lena,Pankow,Prenzlauer Berg Südwest,52.54088868001604,13.409448814157397,Entire home/apt,90,5,76,25/10/2018,0.85,2,14
60161,House at the water,898681,Michael,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.3782796904114,13.652751149230712,Entire home/apt,120,2,7,04/11/2018,0.13,4,8
64245,Room in great area Prenzlauer Berg,312373,Christian,Pankow,Prenzlauer Berg Nordwest,52.54649888653129,13.406329471467505,Private room,44,3,45,11/06/2018,0.5,2,12
64590,Great apt. directly on the canal!,315681,Mirjam,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.494970325600654,13.423991494661834,Entire home/apt,102,2,34,01/06/2018,0.39,1,
68142,Cute sunny room in Friedrichshain,337021,Dayna,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.5248935337621,13.453857347885648,Private room,29,2,70,28/10/2018,0.91,1,5
72079,"Italian Design at Kudamm ,WiFi DSL free",261488,P. Charlotte,Charlottenburg-Wilm.,Kantstraße,52.50780325949872,13.318707261044278,Entire home/apt,80,3,37,14/10/2018,0.55,2,34
74614,City apartment in Prenzlauer Berg,393047,Fatena,Pankow,Prenzlauer Berg Südwest,52.5376951267311,13.408535523373189,Entire home/apt,185,4,59,14/10/2018,0.76,1,35
80843,Berlin City Studio Apt.,437628,Oliver,Charlottenburg-Wilm.,Schmargendorf,52.48086412777901,13.28998185775034,Entire home/apt,49,2,69,13/10/2018,0.75,1,2
81049,Lux.2BR Apart.BerlinMitte Lic. 01/Z/ZA/ (Phone number hidden by Airbnb),249501,Elfie And  Paul,Mitte,Regierungsviertel,52.52183917807321,13.390672160465307,Entire home/apt,155,4,39,06/11/2018,0.43,1,28
82893,Apartment 2 Mitte,451311,Ruth,Mitte,Brunnenstr. Süd,52.531999624503065,13.382847513861474,Entire home/apt,70,3,71,14/10/2018,0.8,3,22
86514,"Sunny room, Kreuzberg ",464827,Hayley,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49820825407495,13.441778788008365,Private room,80,2,44,23/06/2017,0.48,1,36
89102,Bright loft in the Kastanienallee,485838,Michele,Pankow,Prenzlauer Berg Südwest,52.54052905754406,13.409949597839896,Entire home/apt,114,10,57,01/11/2018,0.63,4,10
91290,Gardenside flat for 2-3 guests,382397,Josep,Neukölln,Reuterstraße,52.49003805503347,13.426190641200549,Entire home/apt,60,2,44,09/10/2017,0.48,1,
107968,"Gästeapartment Berlin- Schöneberg",558933,Frank,Tempelhof - Schöneberg,Schöneberg-Nord,52.49854776932377,13.342940503262401,Entire home/apt,80,3,59,03/10/2018,0.66,1,36
109658,Spacious Studio Apartment in Berlin,565578,Miriam,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.52426457023809,13.452067177881746,Entire home/apt,60,3,68,20/10/2018,0.77,1,23
114763,In the heart of Berlin!,582007,Julia,Tempelhof - Schöneberg,Schöneberg-Süd,52.48805003364805,13.353250379710676,Entire home/apt,130,3,53,01/10/2018,0.74,1,14
115576,Bed and Garden,584750,Axel,Pankow,Blankenfelde/Niederschönhausen,52.58150268997834,13.3978581755756,Entire home/apt,69,2,3,23/06/2018,0.05,1,34
116832,Clean & Spacious Kreuzberg Apt,590130,Oliver,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49094420157708,13.396194429695147,Entire home/apt,75,14,3,01/08/2015,0.06,1,31
117649,F43 - your base for Berlin,594164,Ralph&Maria,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.50004365663805,13.442648963468386,Entire home/apt,68,60,84,15/08/2017,0.93,1,26
121888,"private, calm but very central",611847,Michel,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.518177197329855,13.463995796385912,Entire home/apt,125,7,5,17/07/2016,0.06,1,
125349,Cottage Berlin-Friedrichshagen,623521,Andre,Treptow - Köpenick,Friedrichshagen,52.45105230030462,13.635283164937055,Entire home/apt,70,2,26,18/10/2018,0.49,1,34
128827,Gorgeous Home in the City's Heart,632971,Kai,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.5094832168444,13.46119273281486,Entire home/apt,59,2,16,09/07/2018,0.37,1,30
143605,""" Berlin Fuffa's 40m2  apartment """,696492,Gaston & Elena,Neukölln,Schillerpromenade,52.476777774814124,13.424371494296869,Entire home/apt,55,30,55,07/05/2018,0.63,1,31
147946,1-room-flat in Prenzlauer Berg/WIFI,712973,Jan,Pankow,Prenzlauer Berg Nordwest,52.54854936182288,13.408516746844336,Entire home/apt,31,183,39,12/02/2017,0.45,1,32
149849,Cosy room in Mitte/Rosenthaler pl.,722460,George,Mitte,Alexanderplatz,52.529817192179195,13.40259803750833,Private room,40,2,47,03/11/2018,0.54,1,8
151249,"Quiet, Terrasse, cats, baby equiped",728298,Julia,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.49677893596029,13.416794504313168,Entire home/apt,81,1,10,16/09/2018,0.26,1,34
155048,"Great 76 qm apartment, 2 balconies",745571,Uli,Pankow,Prenzlauer Berg Nord,52.54250548510002,13.437193263101436,Entire home/apt,100,180,4,14/11/2011,0.04,1,28
157546,"Facing the canal, Paul Lincke Ufer",311245,François,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49544917093305,13.424493405497937,Entire home/apt,88,5,45,06/10/2018,0.53,1,29
158890,Loft Appartment in Berlin Kreuzberg,762526,Stefan,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.499034503611085,13.436536845747813,Entire home/apt,100,10,3,09/06/2016,0.08,1,32
159454,"Bright, Charming and Modern Altbau",499725,Prasad,Charlottenburg-Wilm.,Wiesbadener Straße,52.47831221692291,13.311401944589958,Entire home/apt,161,2,43,30/10/2018,0.57,1,22
163287,"Very nice apartment, Bergmann area",779623,Stefano,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4917915795528,13.397270625123513,Entire home/apt,29,150,71,30/04/2016,0.8,2,35
163411,Ample parkside apartment Kreuzberg,779213,Jutta,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49737973107708,13.436374924087726,Entire home/apt,80,5,12,18/08/2018,0.14,1,25
168615,STAYINTOWN - Apartment in Berlin,803717,Dirk,Pankow,Blankenburg/Heinersdorf/Märchenland,52.58055049897068,13.445391219436361,Entire home/apt,49,2,6,16/10/2018,0.08,1,15
169603,Luxury  & silent apartment near park and riverside,808393,Oliver,Lichtenberg,Rummelsburger Bucht,52.49655707634615,13.483793612791464,Entire home/apt,59,1,28,02/11/2018,0.35,2,1
169907,Cozy Berlin nest with great access,809715,Donna,Tempelhof - Schöneberg,Friedenau,52.46981277766224,13.330368455954343,Private room,30,1,13,17/00/2018,0.32,1,
170582,Room for one Women - Living Community,813767,Lena,Charlottenburg-Wilm.,Wiesbadener Straße,52.46746817520618,13.313736664841388,Private room,23,5,15,23/09/2018,0.88,1,19
170652,2-room apartment. Mauerpark TOP!,814026,Frank,Mitte,Brunnenstr. Nord,52.54529865450747,13.397289357596058,Private room,40,5,5,21/09/2018,0.07,1,36
170974,"Very Sunny, cozy Room with Balcony :)",815530,Onkel,Neukölln,Neuköllner Mitte/Zentrum,52.4793888009748,13.430209628755884,Private room,35,7,48,06/10/2018,0.63,1,8
173153,Beautiful flat 95m² in Berlin Mitte,826546,Wolfgang,Pankow,Prenzlauer Berg Südwest,52.530548509650565,13.407016713355517,Entire home/apt,80,2,33,30/10/2017,0.38,1,
174391,BERLIN The most central!,833209,Julija,Mitte,Alexanderplatz,52.52885628704049,13.396841414864655,Private room,42,1,1,06/05/2016,0.03,1,
174547,Berlin City Apartment 1with WiFi,833995,Ilona,Mitte,Alexanderplatz,52.511001773865665,13.415950719937943,Entire home/apt,96,60,31,02/10/2016,0.37,4,
174560,"2 apartment in Berlin Center, WiFi",833995,Ilona,Mitte,Alexanderplatz,52.51072774657479,13.417906085619384,Entire home/apt,75,60,56,01/10/2016,0.71,4,28
174576,Berlin City Suite 3 mit W-Lan ,833995,Ilona,Mitte,Alexanderplatz,52.50939926752596,13.416228803622197,Entire home/apt,96,60,41,02/10/2016,0.5,4,36
175667,"calm, sunny and central apartment ",839532,Christina,Tempelhof - Schöneberg,Schöneberg-Süd,52.49137801093193,13.343314916960827,Entire home/apt,46,60,8,11/01/2017,0.09,2,30
176342,Landmark/Checkpoint Charlie/120m2/2BATH/3BR/NEW,843326,Nino,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50363148256159,13.392010420909141,Entire home/apt,296,1,18,28/10/2018,0.31,3,33
